Job Title,Company,Location,Date Posted,Date Extracted,Summary,Salary,Job URL
Co-op: System Engineering,Lockheed Martin Corporation,"Montréal, QC",1 day ago,2021-05-07,"Collaborating on system design activities with senior systems engineering and other engineering staff, including supporting technical reviews.",Not Provided,https://ca.indeed.com//rc/clk?jk=4b750a5ed8cdef8f&fccid=aeb15e43a6800b9d&vjs=3
Computer Science and Engineering Co-op/Developmental Students- Fall 2021,Ontario Power Generation,Ontario,4 days ago,2021-05-07,Be returning to full-time studies in the same program following the completion of the work term OR require the work term or co-op placement to graduate.,$23.59 an hour,https://ca.indeed.com//rc/clk?jk=9aaea85fec0798b6&fccid=7bbcdc23e9b092b7&vjs=3
Fall 2021 Engineering and Technology Co-op Program,TELUS,Canada,3 days ago,2021-05-07,"Preferably enrolled in a co-op program with a minimum of one term (or summer internship) completed.
As a co-op student, you will get to work on many meaningful…",Not Provided,https://ca.indeed.com//rc/clk?jk=3966de8f19481466&fccid=4512634d9e7338a8&vjs=3
Corporate Reliability Engineering Co-op,IKO Industries Ltd.,"High River, AB",1 day ago,2021-05-07,"With Corporate Reliability Engineers’ guidance, work with Plant Operation Manager and Mechanic to develop Asset Hierarchy List, Document Navigation Accelerator …",Not Provided,https://ca.indeed.com//rc/clk?jk=e0b44b9f9831e128&fccid=2797a5c9d392078c&vjs=3
Leadership Co-op student,PepsiCo,"Lethbridge, AB",1 day ago,2021-05-07,"Your role will be to lead a team of 15-30 frontline employees and manage through the challenges of doing so in a Supply Chain organization, including motivating…",Not Provided,https://ca.indeed.com//rc/clk?jk=f20ad5355ab8ce41&fccid=2973259ddc967948&vjs=3
Co-op Technical Sr: Software Developer,Lockheed Martin Corporation,"Montréal, QC",1 day ago,2021-05-07,"Knowledge of recognized software/system engineering processes.
The candidate will participate in engineering activities including but not limited to:",Not Provided,https://ca.indeed.com//rc/clk?jk=701b6ed8792dc4bc&fccid=aeb15e43a6800b9d&vjs=3
Backend Engineering Co-op/Intern (Fall 2021),Axiom Zen,"Vancouver, BC",2 days ago,2021-05-07,"Familiarity with agile software development methodologies.
Knowledge of REST design principles, and interest/knowledge of web frameworks.",Not Provided,https://ca.indeed.com//rc/clk?jk=c578ebc14055973c&fccid=97b60a8911a47812&vjs=3
Co-Op Software Engineering Student 4 to 8 Months - Fall,General Dynamics Missions Systems-Canada,"Ottawa, ON",Just posted,2021-05-07,"Disciplined approach to software engineering.
In support of detecting, tracking, and identifying targets of interest.
Sharing knowledge with other team members.",Not Provided,https://ca.indeed.com//rc/clk?jk=c8559c12e314099b&fccid=382dee2cfe0ba124&vjs=3
Frontend Engineering Co-op/Intern (Fall 2021),Axiom Zen,"Vancouver, BC",2 days ago,2021-05-07,"Familiarity with or interest in blockchain.
Knowledge of modern web development libraries such as React and Vue.",Not Provided,https://ca.indeed.com//rc/clk?jk=481123adc8229646&fccid=97b60a8911a47812&vjs=3
Co-op/Intern,Curtiss-Wright,"Newmarket, ON",1 day ago,2021-05-07,Co-Op description of duties and training Engineering and Operational support * Seismic and test fixturing support * Assist with Linkedin CWNC updates *…,Not Provided,https://ca.indeed.com//rc/clk?jk=85c88593506595cb&fccid=8203bf77b6d24450&vjs=3
Co-op DevOps Engineering 8 - 16 month - Fall,General Dynamics Missions Systems-Canada,"Calgary, AB",Just posted,2021-05-07,"Following an Agile framework, you will work within a multi-disciplinary team of engineers, developers and business analysts to support the DevOps transformation…",Not Provided,https://ca.indeed.com//rc/clk?jk=1cdd57a20b88bc29&fccid=382dee2cfe0ba124&vjs=3
Supply Chain Co-op/Intern,PepsiCo,"Moncton, NB",Just posted,2021-05-07,"Your role will be to support Production resources (teams of 15-20 frontline employees and managers) through the challenges of a Supply Chain organization,…",Not Provided,https://ca.indeed.com//rc/clk?jk=81853676c8f40e73&fccid=2973259ddc967948&vjs=3
"Manager, Engineering Co-op (Leave Replacement)",University of British Columbia,"Vancouver, BC",1 day ago,2021-05-07,"Exercise judgment and initiative in handling all co-op program matters.
Initiates, builds, and maintains new employer relationships for co-op job development.","$6,546 - $10,229 a month",https://ca.indeed.com//rc/clk?jk=aa3e7f46a82b7ef8&fccid=462e6068c17c7702&vjs=3
"Software Developer (8 Months Only), Fall 2021 Co-op Opportunities",RBC,Ontario,3 days ago,2021-05-07,"Currently enrolled at a Canadian post-secondary institution with a focus on computer science, engineering, or technology.",Not Provided,https://ca.indeed.com//rc/clk?jk=c94e0ee577dbf381&fccid=537b899e30af3338&vjs=3
Backend Engineering Co-op/Intern (Fall 2021),CryptoKitties,"Vancouver, BC",2 days ago,2021-05-07,"Familiarity with agile software development methodologies.
Knowledge of REST design principles, and interest/knowledge of web frameworks.",Not Provided,https://ca.indeed.com//rc/clk?jk=a2ae5c721dcd3fbf&fccid=a63cc068af79e415&vjs=3
Computer Engineering CO-OP,Ocean Sonics,"Truro Heights, NS",30+ days ago,2021-05-07,"Co-op student in Computer Engineering or equivalent.
Engineering Coop student at our main office in Truro, Nova Scotia.",Not Provided,https://ca.indeed.com//rc/clk?jk=d11041b2cecf276b&fccid=533d8cfb5c70e18a&vjs=3
Manufacturing & Engineering - 12+ months Co-op,Procter & Gamble,"Belleville, ON",6 days ago,2021-05-07,"Preference is given to those individuals with at least 3 years completed in Electrical, Chemical, Physics or Mechanical engineering programs at an accredited…",Not Provided,https://ca.indeed.com//rc/clk?jk=e9660212d54851f2&fccid=2da0dedf6df97194&vjs=3
Co-Op Software Engineering Student 4 to 8 Months - Fall,General Dynamics Missions Systems-Canada,"Ottawa, ON",Just posted,2021-05-07,"Disciplined approach to software engineering.
In support of detecting, tracking, and identifying targets of interest.
Sharing knowledge with other team members.",Not Provided,https://ca.indeed.com//rc/clk?jk=c8559c12e314099b&fccid=382dee2cfe0ba124&vjs=3
Design Research Intern/Co-op,TD Bank,"Toronto, ON",3 days ago,2021-05-07,"Currently enrolled in an undergraduate degree in psychology, anthropology, industrial engineering, human factors, human-computer interaction or a related field.",Not Provided,https://ca.indeed.com//rc/clk?jk=75413ed14b9bc064&fccid=d7114f1cac8d0711&vjs=3
"Software Developer, Fall 2021 Co-op",D2L,"Kitchener, ON",6 days ago,2021-05-07,"Currently a candidate for Bachelor's degree or diploma in Computer Science, Computer Engineering or a related field with the Co-op option.",Not Provided,https://ca.indeed.com//rc/clk?jk=e4dbb75a2e0d023b&fccid=d797af08f7544bdf&vjs=3
Electrical Engineering Co-op Student (Summer 2021),Stantec,"Fredericton, NB",22 days ago,2021-05-07,"Conduct basic engineering design calculations.
Assist the design team in completing fundamental engineering tasks.
Collect field information (visit work site).",Not Provided,https://ca.indeed.com//rc/clk?jk=af6ce18ddc2840b9&fccid=f1582c464db8553b&vjs=3
"ST-Coordinator, Production Technical (12 - 16 Month Co-Op)",Apotex Inc.,"Etobicoke, ON",Just posted,2021-05-07,"Coordinate with vendors and contractors to execute maintenance engineering project activities.
Must be enrolled in a recognized post-secondary Co-op education…",Not Provided,https://ca.indeed.com//rc/clk?jk=2b6c8282ee470aad&fccid=10c9cd41a5b83896&vjs=3
Mechatronics Engineering Co-op,Magna International Inc.,"Newmarket, ON",7 days ago,2021-05-07,Analyzes products and formulates engineering conclusions by the application of engineering and/or mathematical principles and tools.,Not Provided,https://ca.indeed.com//rc/clk?jk=e090aa5e27124ce4&fccid=254ad00cf333484f&vjs=3
Mechanical Engineering Co-Op,ProMach,"Richmond, BC",9 days ago,2021-05-07,"Currently completing a bachelor’s of engineering degree with a focus in mechanical engineering.
Participate in tasks requiring collaborative engagement with…",Not Provided,https://ca.indeed.com//rc/clk?jk=143d286aaaf49d4a&fccid=27021f4936bfffb0&vjs=3
"Analyst, Intact Ventures – 4 Month Co-op/Internship (Fall 2021)",Intact,"Toronto, ON",3 days ago,2021-05-07,"Currently pursuing a Bachelor’s degree in finance, accounting, engineering, computer science, technology or related discipline required.",Not Provided,https://ca.indeed.com//rc/clk?jk=24bdd4df87327bbf&fccid=be7195d2ebb48351&vjs=3
Student / Intern,Oracle,"Kitchener, ON",Today,2021-05-07,"Co-op/intern or other industry experience in software is a plus.
Collaborate with your fellow co-ops/interns to work hard & have fun.",Not Provided,https://ca.indeed.com//rc/clk?jk=cd3ab3cffe898bb3&fccid=cd22d01053af7669&vjs=3
Product Management Co-op,Clearco,"Toronto, ON",2 days ago,2021-05-07,"Can take direction from leaders among product and engineering and run with varying responsibilities, from coordinating a feature rollout to root causing a…",Not Provided,https://ca.indeed.com//rc/clk?jk=6b66141203288fb2&fccid=4799ed9185c0edc2&vjs=3
"EY Consulting, Business Consulting – Technology Risk: Co- Op Fall 2021 - Toronto, Waterloo & Calgary",Ernst & Young,Canada,3 days ago,2021-05-07,"Currently enrolled in a co-op program pursuing an undergraduate degree in business, engineering, computer science, information systems, or another related major…",Not Provided,https://ca.indeed.com//rc/clk?jk=df05a3b62df03456&fccid=1544766d4c2915b0&vjs=3
Test Lab R&D Co-op - New Product Development,Stryker Corporation,"Burnaby, BC",2 days ago,2021-05-07,"Previous co-op experience preferred.
Available for an 8-month co-op term.
It would be advantageous to have completed a previous co-op term.",Not Provided,https://ca.indeed.com//rc/clk?jk=b5c4dd9b3c64283e&fccid=9d4dbca3ed8b9cdf&vjs=3
Consulting - Customer & Applied Design - Fall Co-op 2021 - Opportunities Across Canada,Deloitte,"Toronto, ON",3 days ago,2021-05-07,"Looking to complete either 4- or 8-month co-op terms starting this Fall 2021.
We are looking for students to complete either a 4- or 8-month co-op term starting…",Not Provided,https://ca.indeed.com//rc/clk?jk=c97d8b5c801f20ee&fccid=9e215d88a6b33622&vjs=3
Co-op Engineering Technician,Intertek,"Mississauga, ON",30+ days ago,2021-05-07,"Conduct engineering reviews of revised products or production processes.
This position is responsible for project management of Building Products certification…",Not Provided,https://ca.indeed.com//rc/clk?jk=a1ee8d589b45961e&fccid=1f4ccf172f5f4ab1&vjs=3
"Manager, Engineering Co-op (Leave Replacement)",University of British Columbia,"Vancouver, BC",1 day ago,2021-05-07,"Exercise judgment and initiative in handling all co-op program matters.
Initiates, builds, and maintains new employer relationships for co-op job development.","$6,546 - $10,229 a month",https://ca.indeed.com//rc/clk?jk=aa3e7f46a82b7ef8&fccid=462e6068c17c7702&vjs=3
"Software Developer (8 Months Only), Fall 2021 Co-op Opportunities",RBC,Ontario,3 days ago,2021-05-07,"Currently enrolled at a Canadian post-secondary institution with a focus on computer science, engineering, or technology.",Not Provided,https://ca.indeed.com//rc/clk?jk=c94e0ee577dbf381&fccid=537b899e30af3338&vjs=3
Security Engineer Intern/Co-op,TD Bank,"Toronto, ON",3 days ago,2021-05-07,"Participate in the conceptual and logical engineering designs for your assigned portfolio.
Gain experience in analyzing technical requirements in order to…",Not Provided,https://ca.indeed.com//rc/clk?jk=b0e25d9b4bfe3b0f&fccid=d7114f1cac8d0711&vjs=3
Mechanical Engineering Student - Fall 2021 - Pulp & Paper Division,Irving Pulp and Paper,"Saint John, NB",2 days ago,2021-05-07,"Education Required: Mechanical Engineering Students available for co-op work term and in good academic standing.
MECHANICAL ENGINEERING CO-OP STUDENT.",Not Provided,https://ca.indeed.com//rc/clk?jk=91a940534b32842e&fccid=b680520115bfd867&vjs=3
Hardware Engineer Co-op (4 Openings),Dell Technologies,"Ottawa, ON",1 day ago,2021-05-07,"You have strong communication skills and are passionate to pursue career path in engineering.
As the Hardware Engineer intern/co-op with Dell, your primary…",Not Provided,https://ca.indeed.com//rc/clk?jk=0882f8c975a4b1fa&fccid=dd09fe3b43125016&vjs=3
CO-OP,Hunter Engineering,"Aurora, ON",1 day ago,2021-05-07,Hunter Engineering is seeking an individual that can participate in supporting our Sales and Marketing Campaigns.,Not Provided,https://ca.indeed.com//rc/clk?jk=4f920677db5511e3&fccid=e1724a46d60eef5c&vjs=3
Quality Engineering Co-op,Stryker Corporation,"Burnaby, BC",7 days ago,2021-05-07,"It would be advantageous to have completed a previous co-op term.
While working with a team of engineers and under the supervision of a senior engineer, the co…",Not Provided,https://ca.indeed.com//rc/clk?jk=f335489ba783473a&fccid=9d4dbca3ed8b9cdf&vjs=3
Data Science Co-op,Clearco,"Toronto, ON",2 days ago,2021-05-07,"Are comfortable with software engineering including cloud and code versioning.
Assisting in conducting reproducible research and iterate over machine learning…",Not Provided,https://ca.indeed.com//rc/clk?jk=235b838ca883548a&fccid=4799ed9185c0edc2&vjs=3
Co-op Technical Sr: Software Developer,Lockheed Martin Corporation,"Montréal, QC",1 day ago,2021-05-07,"Knowledge of recognized software/system engineering processes.
The candidate will participate in engineering activities including but not limited to:",Not Provided,https://ca.indeed.com//rc/clk?jk=701b6ed8792dc4bc&fccid=aeb15e43a6800b9d&vjs=3
Quality Engineer Co-op - Global Quality and Operations,Stryker,"Burnaby, BC",29 days ago,2021-05-07,"This 8-month co-op term is preferably aimed at applicants in their 3rd or 4th year of a Mechanical, Electrical, Biomedical, Integrated, Industrial (or similar)…",Not Provided,https://ca.indeed.com//rc/clk?jk=0bab8e6bff624f36&fccid=9d4dbca3ed8b9cdf&vjs=3
Reliability Engineering Maximo Data Admin - Co-Op,Thermo Fisher Scientific,"Whitby, ON",12 days ago,2021-05-07,"Supports reliability engineering management in RCM methodologies.
A thorough knowledge of engineering documentation for facilities and production equipment.",Not Provided,https://ca.indeed.com//rc/clk?jk=2a36fb3c7d5dd1b9&fccid=126e3afd205caa95&vjs=3
Technical Co-op - Documentation Engineer,Lockheed Martin Corporation,"Ottawa, ON",16 days ago,2021-05-07,"This position is part of the Rotary and Mission Systems business area, where employees across Canada support engineering, systems integration, training,…",Not Provided,https://ca.indeed.com//rc/clk?jk=7aebd2acc00514bb&fccid=aeb15e43a6800b9d&vjs=3
"Project Coordinator, Co-Op",Aecon Group,"Barrie, ON",13 days ago,2021-05-07,"Note, this is an 4-8 month co-op position located in Barrie, ON.
Reporting to the Manager, Operations, the Project Coordinator, Co-op will be responsible to…",Not Provided,https://ca.indeed.com//rc/clk?jk=0fc939a5c3c6fec2&fccid=142c552fa53fee9b&vjs=3
Chemical / Process Engineering Student – Fall 2021 – Pulp and Paper Division,Irving Pulp and Paper,"Saint John, NB",2 days ago,2021-05-07,"Education Required: Chemical/Process Engineering Students available for co-op work term and in good academic standing.
Years of Experience Required: <2 years.",Not Provided,https://ca.indeed.com//rc/clk?jk=97e9586dc8395094&fccid=b680520115bfd867&vjs=3
Mechanical Engineering Student - Fall 2021 - Pulp & Paper Division,Irving Pulp and Paper,"Saint John, NB",2 days ago,2021-05-07,"Education Required: Mechanical Engineering Students available for co-op work term and in good academic standing.
MECHANICAL ENGINEERING CO-OP STUDENT.",Not Provided,https://ca.indeed.com//rc/clk?jk=91a940534b32842e&fccid=b680520115bfd867&vjs=3
Jr. Project Coordinator Co-Op,Aecon Group,"Gogama, ON",20 days ago,2021-05-07,"Reporting to the Lead Project Coordinator, the Jr. Project Coordinator Co-Op will play an important role on-site by assisting the project management with the…",Not Provided,https://ca.indeed.com//rc/clk?jk=b9edad8371625645&fccid=142c552fa53fee9b&vjs=3
Manufacturing & Engineering - 12+ months Co-op,Procter & Gamble,"Belleville, ON",6 days ago,2021-05-07,"Preference is given to those individuals with at least 3 years completed in Electrical, Chemical, Physics or Mechanical engineering programs at an accredited…",Not Provided,https://ca.indeed.com//rc/clk?jk=e9660212d54851f2&fccid=2da0dedf6df97194&vjs=3
"Analyst, Intact Ventures – 4 Month Co-op/Internship (Fall 2021)",Intact,"Toronto, ON",3 days ago,2021-05-07,"Currently pursuing a Bachelor’s degree in finance, accounting, engineering, computer science, technology or related discipline required.",Not Provided,https://ca.indeed.com//rc/clk?jk=8d1ab765aa5bc3fc&fccid=be7195d2ebb48351&vjs=3
"Information Technology Services - Fall 2021 Co-op/Intern , Toronto, ON",Deloitte,"Toronto, ON",3 days ago,2021-05-07,"As a co-op/intern within Solutions Delivery, you will be involved in Emerging technology initiatives like Intelligent Automation, Artificial Intelligence and…",Not Provided,https://ca.indeed.com//rc/clk?jk=dae76a4c05134032&fccid=9e215d88a6b33622&vjs=3
Co-op System Integration V&V Analyst 8-16 months - Fall,General Dynamics Missions Systems-Canada,"Ottawa, ON",2 days ago,2021-05-07,The Land Command Support System (LCSS) is the system of systems that primarily supports the Land Command in operations by providing commanders with the…,Not Provided,https://ca.indeed.com//rc/clk?jk=4d48cbfd054fae51&fccid=382dee2cfe0ba124&vjs=3
Quantitative Modeling and Analytics Intern/Co-op,TD Bank,"Toronto, ON",2 days ago,2021-05-07,"The Quantitative Modeling and Analytics (QMA) team of Technology Solutions is responsible for the development, delivery, and support of financial engineering…",Not Provided,https://ca.indeed.com//rc/clk?jk=f1a4fa14a375e0f9&fccid=d7114f1cac8d0711&vjs=3
Transportation Engineering Student,Urban Systems,"Vancouver, BC",2 days ago,2021-05-07,"You have a keen interest in transportation engineering;
Apply theory and conduct research to provide workable solutions related to the implementation of…",Not Provided,https://ca.indeed.com//rc/clk?jk=d10b7594972c127c&fccid=da6419f811da1339&vjs=3
Test Lab R&D Co-op - New Product Development,Stryker Corporation,"Burnaby, BC",2 days ago,2021-05-07,"Previous co-op experience preferred.
Available for an 8-month co-op term.
It would be advantageous to have completed a previous co-op term.",Not Provided,https://ca.indeed.com//rc/clk?jk=b5c4dd9b3c64283e&fccid=9d4dbca3ed8b9cdf&vjs=3
Project Engineering Co-op,Magna International Inc.,"Newmarket, ON",12 days ago,2021-05-07,Analyzes products and formulates engineering conclusions by the application of engineering and/or mathematical principles and tools.,Not Provided,https://ca.indeed.com//rc/clk?jk=63f86028004aedaa&fccid=254ad00cf333484f&vjs=3
Chemical / Process Engineering Student – Fall 2021 – Pulp and Paper Division,Irving Pulp and Paper,"Saint John, NB",2 days ago,2021-05-07,"Education Required: Chemical/Process Engineering Students available for co-op work term and in good academic standing.
Years of Experience Required: <2 years.",Not Provided,https://ca.indeed.com//rc/clk?jk=97e9586dc8395094&fccid=b680520115bfd867&vjs=3
Hardware Engineer Co-op (4 Openings),Dell Technologies,"Ottawa, ON",1 day ago,2021-05-07,"You have strong communication skills and are passionate to pursue career path in engineering.
As the Hardware Engineer intern/co-op with Dell, your primary…",Not Provided,https://ca.indeed.com//rc/clk?jk=0882f8c975a4b1fa&fccid=dd09fe3b43125016&vjs=3
Vancouver Supply Chain/Engineering Intern - Fall 2021,PepsiCo,"Vancouver, BC",3 days ago,2021-05-07,"Your role will be to lead a team of 15-30 frontline employees and manage through the challenges of doing so in a Supply Chain organization, including motivating…",Not Provided,https://ca.indeed.com//rc/clk?jk=a94388e6b7438591&fccid=2973259ddc967948&vjs=3
Mechanical Engineering Co-Op,ProMach,"Richmond, BC",9 days ago,2021-05-07,"Currently completing a bachelor’s of engineering degree with a focus in mechanical engineering.
Participate in tasks requiring collaborative engagement with…",Not Provided,https://ca.indeed.com//rc/clk?jk=143d286aaaf49d4a&fccid=27021f4936bfffb0&vjs=3
Fall Co op/Intern: Embedded Software Engineer,Ciena,"Ottawa, ON",10 days ago,2021-05-07,"2nd year or greater Engineering or Computer Science, preferably with prior co-op experience in related fields.
Coding and testing of software.",Not Provided,https://ca.indeed.com//rc/clk?jk=ea243058fcaea822&fccid=144a39be55e8440b&vjs=3
Co-op DevOps Engineering 8 - 16 month - Fall,General Dynamics Missions Systems-Canada,"Calgary, AB",Just posted,2021-05-07,"Following an Agile framework, you will work within a multi-disciplinary team of engineers, developers and business analysts to support the DevOps transformation…",Not Provided,https://ca.indeed.com//rc/clk?jk=1cdd57a20b88bc29&fccid=382dee2cfe0ba124&vjs=3
CO-OP Materials/Civil Students,Wood Plc,"St. John's, NL",14 days ago,2021-05-07,"John’s, as well as remote project sites throughout the province.
Mobilization costs to and from the site and project accommodations will be provided.",Not Provided,https://ca.indeed.com//rc/clk?jk=528349b06467cad4&fccid=022a1f0fd2bf3f85&vjs=3
Fall Co op/Intern,Ciena,"Ottawa, ON",10 days ago,2021-05-07,"Further education or experience in engineering, computer science or another technical related field.
Use intermediate technical engineering knowledge and…",Not Provided,https://ca.indeed.com//rc/clk?jk=3d9e0ecbe6c64691&fccid=144a39be55e8440b&vjs=3
Fall 2021 Co-op - Software Engineer,Salesforce,Ontario,2 days ago,2021-05-07,"Candidates must be able to work on a full-time basis from September 7, 2021 - December 23, 2021.
Work with your team members on timely and relevant projects…",Not Provided,https://ca.indeed.com//rc/clk?jk=2bf82fd5be5fa0d6&fccid=4027cfd917e1ee29&vjs=3
Jr. Project Coordinator Co-Op,Aecon Group,"Gogama, ON",20 days ago,2021-05-07,"Reporting to the Lead Project Coordinator, the Jr. Project Coordinator Co-Op will play an important role on-site by assisting the project management with the…",Not Provided,https://ca.indeed.com//rc/clk?jk=b9edad8371625645&fccid=142c552fa53fee9b&vjs=3
Health & Safety Co-op Student,Ferrovial Services,"Kanata, ON",29 days ago,2021-05-07,"This position provides the opportunity to join a dynamic team focused on maturing HSEQ culture, ensuring legal compliance and supporting continuous improvement…",Not Provided,https://ca.indeed.com//rc/clk?jk=9684570e63b25f4b&fccid=17a321ff96463722&vjs=3
Co-op System Integration V&V Analyst 8-16 months - Fall,General Dynamics Missions Systems-Canada,"Ottawa, ON",2 days ago,2021-05-07,The Land Command Support System (LCSS) is the system of systems that primarily supports the Land Command in operations by providing commanders with the…,Not Provided,https://ca.indeed.com//rc/clk?jk=4d48cbfd054fae51&fccid=382dee2cfe0ba124&vjs=3
Software Developer Co-op (Fall 2021 Term),Magnet Forensics,"Waterloo, ON",30+ days ago,2021-05-07,"We build software that automates the recovery of digital forensic evidence, helping thousands of forensics professionals around the world find, analyze, and…",Not Provided,https://ca.indeed.com//rc/clk?jk=592062a56667486c&fccid=c48e0ab625aa6389&vjs=3
"Manufacturing Engineer (Availability: Permanent, Co-Op Term, and/or Summer)",Elmers Manufacturing,"Altona, MB",30+ days ago,2021-05-07,"Integrate new products and product refinements into production.
Optimize production processes and analyze performance.
Assist with Engineering Change Orders.",Not Provided,https://ca.indeed.com//rc/clk?jk=9817f3a8c3c70b17&fccid=9e26640cd203a4da&vjs=3
Fall Co op/Intern: Software Designer,Ciena,"Ottawa, ON",10 days ago,2021-05-07,"2nd – 3rd year Computer/Electrical Engineering or Computer Science, preferably with prior co-op experience in related fields.
Coding and testing of software.",Not Provided,https://ca.indeed.com//rc/clk?jk=339c7e4a5107959c&fccid=144a39be55e8440b&vjs=3
Fall Co op/Intern: FPGA Verification Engineer,Ciena,"Ottawa, ON",3 days ago,2021-05-07,"Co-op experience is an asset.
The successful candidate will apply advanced verification methodologies and tools to validate FPGA designs to help ensure the…",Not Provided,https://ca.indeed.com//rc/clk?jk=78cbcd23d16d7052&fccid=144a39be55e8440b&vjs=3
Fall Co op/Intern: Hardware Designer,Ciena,"Ottawa, ON",3 days ago,2021-05-07,"Completed third year Undergraduate or in Graduate program in Mechanical/Electrical Engineering, preferably with prior co-op experience in related fields.",Not Provided,https://ca.indeed.com//rc/clk?jk=2b30fd356f500edc&fccid=144a39be55e8440b&vjs=3
"Information Technology Services - Fall 2021 Co-op/Intern , Toronto, ON",Deloitte,"Toronto, ON",3 days ago,2021-05-07,"As a co-op/intern within Solutions Delivery, you will be involved in Emerging technology initiatives like Intelligent Automation, Artificial Intelligence and…",Not Provided,https://ca.indeed.com//rc/clk?jk=dae76a4c05134032&fccid=9e215d88a6b33622&vjs=3
Vancouver Supply Chain/Engineering Intern - Fall 2021,PepsiCo,"Vancouver, BC",3 days ago,2021-05-07,"Your role will be to lead a team of 15-30 frontline employees and manage through the challenges of doing so in a Supply Chain organization, including motivating…",Not Provided,https://ca.indeed.com//rc/clk?jk=a94388e6b7438591&fccid=2973259ddc967948&vjs=3
Intern Opportunities for Students - Sales Excellence & Strategy Manager (8 Consecutive Months - Fall 2021 Start Date),Microsoft,"Toronto, ON",9 days ago,2021-05-07,"Currently pursuing abachelor’s or master’s degree in computer science, computer engineering, IT, electrical engineering, management information systems,…",Not Provided,https://ca.indeed.com//rc/clk?jk=421b96e1ad77457d&fccid=734cb5a01ee60f80&vjs=3
"ST-Engineer, Process Encapsulation Ops (12 Month Co-Op)",Apotex Inc.,"Etobicoke, ON",Just posted,2021-05-07,"Must be enrolled in a recognized post-secondary Co-op education program.
Through vertical integration, Apotex is comprised of multiple divisions and affiliates…",Not Provided,https://ca.indeed.com//rc/clk?jk=76e2f9e1cd8ca4ba&fccid=10c9cd41a5b83896&vjs=3
Technical Writer Co-op (IDEA),CaseWare IDEA,"Ottawa, ON",30+ days ago,2021-05-07,"Developing, writing, and updating user guides, training content and online help for auditing and accounting software.
MS Word expertise and Adobe Acrobat use.",$18.03 - $22.84 an hour,https://ca.indeed.com//rc/clk?jk=2b0f6308903ee7e6&fccid=9a477b661f8f818d&vjs=3
New Grad Manufacturing Team Supervisor,PepsiCo,"Cambridge, ON",7 days ago,2021-05-07,"Must have completed a previous co-op term in a manufacturing environment.
We are looking for a new grad who has recently graduated in December 2020 or April…",Not Provided,https://ca.indeed.com//rc/clk?jk=a1fda98a13c48f14&fccid=2973259ddc967948&vjs=3
Digital and Payments - Cross Platform Foundations Intern/Co-op,TD Bank,"Toronto, ON",3 days ago,2021-05-07,"Lunch and Learns on topics such as Innovation.
The Cross Platform Foundations team is responsible for delivering customer-facing mobile apps for the Canadian…",Not Provided,https://ca.indeed.com//rc/clk?jk=abf21eff42634cfd&fccid=d7114f1cac8d0711&vjs=3
Junior Project Analyst (Co-op),Brookfield Properties,"Toronto, ON",30+ days ago,2021-05-07,"As the Junior Project Analyst (Co-op Student), you will be responsible for supporting the day-to-day financial analysis for various projects.",Not Provided,https://ca.indeed.com//rc/clk?jk=2f1bcd2d9baf1603&fccid=221084f68f849cf1&vjs=3
Technical Specialist (Co-op),GM BluePlan Engineering,"London, ON",30+ days ago,2021-05-07,"Completing detailed engineering design calculations;
Under the supervision of a senior engineering staff, the successful candidate will be responsible for…",Not Provided,https://ca.indeed.com//rc/clk?jk=cf163e8e4abdcba0&fccid=ba2e651f68401474&vjs=3
Fall Co op/Intern: Waverserver Software,Ciena,"Ottawa, ON",10 days ago,2021-05-07,"Work with hardware, software, verification and system engineering teams to identify root causes for issues.
Developing real time embedded C/C++ software for the…",Not Provided,https://ca.indeed.com//rc/clk?jk=0a979d61f13b4bc9&fccid=144a39be55e8440b&vjs=3
"Software Developer, Fall 2021 Student Opportunities (Montreal)",RBC,"Montréal, QC",3 days ago,2021-05-07,"Currently enrolled at a Canadian post-secondary institution with a focus on computer science, engineering, or technology.",Not Provided,https://ca.indeed.com//rc/clk?jk=948f83ce70953f12&fccid=537b899e30af3338&vjs=3
Electrical Engineering Project Student - Fall 2021 - IFS,Irving Forest Services,"Saint John, NB",2 days ago,2021-05-07,"Education Required: Electrical Engineering Students available for co-op work term and in good academic standing.
ELECTRICAL ENGINEERING CO-OP PROJECT STUDENT.",Not Provided,https://ca.indeed.com//rc/clk?jk=231076a7db7fffb1&fccid=b680520115bfd867&vjs=3
